 * Serving Flask app "run.py"
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
/usr/local/lib/python2.7/site-packages/flask_sqlalchemy/__init__.py:794: FSADeprecationWarning: SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True or False to suppress this warning.
  'SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and '
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/magnific-popup.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/animate.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/ionicons.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/aos.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/jquery.timepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/flaticon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/icomoon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/popper.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/aos.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/scrollax.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:24] "GET /static/images/Anil.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:26] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:27:31] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:27:32] "GET /static/images/Anil_back.JPG HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:28:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:28:12] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:28:14] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:14] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:14] "GET /static/js/popper.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/flaticon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/aos.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/animate.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/magnific-popup.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/ionicons.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/jquery.timepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/css/icomoon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/scrollax.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/aos.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:15] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:16] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:16] "GET /static/images/Anil.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:16] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:16] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:16] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:16] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:18] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:31:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:32] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:32] "GET /static/images/Anil_back.JPG HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:45] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:47] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:51] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:55] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:31:59] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:11] "GET /photography?all=1 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/animate.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/magnific-popup.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/aos.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/ionicons.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/jquery.timepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/flaticon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/icomoon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/popper.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/aos.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:21] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:22] "GET /static/js/scrollax.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:22] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:24] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:24] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:24] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:24] "GET /static/images/Anil.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:27] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:32:35] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:35] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:36] "GET /static/images/Anil_back.JPG HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:38] "GET /contact HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:39] "GET /static/images/blr-map.png HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:32:47] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:50] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:54] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:32:56] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:33:38] "GET /contact HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/animate.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/magnific-popup.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/aos.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/ionicons.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/jquery.timepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/flaticon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/icomoon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/js/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/js/popper.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:05] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:06] "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:06] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:06] "GET /static/js/aos.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:06] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:06] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:06] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:06] "GET /static/js/scrollax.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:06] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:06] "GET /static/images/Anil.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:06] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:06] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:11] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:34:17] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:34:18] "GET /static/images/Anil_back.JPG HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:35:38] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:03] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:03] "GET /static/css/animate.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:04] "GET /static/css/ionicons.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:04] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:04] "GET /static/css/magnific-popup.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:04] "GET /static/css/aos.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:04] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:04] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:04] "GET /static/css/jquery.timepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:04] "GET /static/css/flaticon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:04] "GET /static/css/icomoon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:04] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/popper.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/aos.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/js/scrollax.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/images/Anil.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:05] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:06] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:13] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:13] "GET /static/images/Anil_back.JPG HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:15] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:19] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:36:20] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:30] "GET /photography?all=1 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:36:35] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:37:04] "GET /photography?month=November&year=2018 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:37:48] "GET /photography?all=1 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:18] "GET /static/images/Anil_back.JPG HTTP/1.1" 206 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/animate.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/owl.theme.default.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/magnific-popup.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/aos.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/ionicons.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/jquery.timepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/flaticon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/icomoon.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/js/jquery.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/js/popper.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:49] "GET /static/css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:50] "GET /static/js/bootstrap.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:50] "GET /static/js/jquery.easing.1.3.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:50] "GET /static/js/jquery.waypoints.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:50] "GET /static/js/jquery.stellar.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:50] "GET /static/js/owl.carousel.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:50] "GET /static/js/jquery.magnific-popup.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:50] "GET /static/js/jquery.animateNumber.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:50] "GET /static/js/aos.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:50] "GET /static/js/bootstrap-datepicker.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:51] "GET /static/js/scrollax.min.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:51] "GET /static/js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:51] "GET /static/images/Anil.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:51] "GET /static/images/bg_1.jpg HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:51] "GET /static/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:51] "GET /static/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:53] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:38:57] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:57] "GET /static/images/Anil_back.JPG HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:38:59] "GET /wp/wp-login.php HTTP/1.1" 404 -
127.0.0.1 - - [06/Mar/2019 15:39:07] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:39:11] "GET /photography HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:39:17] "GET /photography?all=1 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:40:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:40:27] "GET /about HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:42:55] "GET /photography?all=1 HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:43:15] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:43:34] "GET /static/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:43:34] "GET /static/css/owl.carousel.min.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:43:44] "GET /static/css/aos.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:43:53] "GET /static/css/bootstrap-datepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:43:54] "GET /static/css/jquery.timepicker.css HTTP/1.1" 200 -
127.0.0.1 - - [06/Mar/2019 15:43:56] "GET /static/css/flaticon.css HTTP/1.1" 200 -
